Date,AAL.L,ABB.ST,ADM.L,ADS.DE,AIR.PA,ALC.SW,ALV.DE,ASML.AS,ASSA-B.ST,AUTO.L,AZN.L,BA.L,BAER.SW,BARC.L,BDEV.L,BMW.DE,BNP.PA,BP.L,BT-A.L,COLOPLAST-B.CO,CPG.L,CS.PA,CSGN.SW,DANSKE.CO,DGE.L,DPLM.L,DTE.DE,ENEL.MI,ENI.MI,EQT.ST,ERICB.ST,EXPN.L,EXW1.DE,FLTR.L,GIVN.SW,GSK.L,HLMA.L,HSBA.L,IFX.DE,III.L,IMB.L,INVE-B.ST,ISP.MI,JD.L,KGF.L,LGEN.L,LLOY.L,LONN.SW,LSEG.L,MAERSK-B.CO,MBG.DE,MC.PA,MGGT.L,MKS.L,NDA-SE.ST,NESN.SW,NOVN.SW,NWG.L,NXT.L,OCDO.L,OR.PA,ORSTED.CO,PGHN.SW,PRU.L,REL.L,RIO.L,RKT.L,RMS.PA,ROG.SW,RR.L,SAN.PA,SAP.DE,SBRY.L,SDR.L,SGSN.SW,SHEL.L,SIE.DE,SIKA.SW,SMDS.L,STAN.L,SWED-A.ST,TSCO.L,TTE.PA,UBS.SW,UCG.MI,ULVR.L,VOD.L,VOLV-B.ST,VOW3.DE,WEIR.L,ZURN.SW
2024-02-06,1786.9010009765625,453.2899169921875,2485.217529296875,174.0601806640625,145.86416625976562,66.33160400390625,225.79547119140625,819.49169921875,277.569091796875,730.6016235351562,10528.40625,1204.9886474609375,41.05777359008789,146.18003845214844,,87.16731262207031,46.88957214355469,478.3577575683594,106.9442138671875,,2167.146728515625,27.39946174621582,,153.06723022460938,2969.396240234375,3293.15478515625,20.601253509521484,5.386877536773682,12.576204299926758,265.2204895019531,,3296.141357421875,44.53448486328125,16690.0,3393.8876953125,1651.5283203125,2173.666748046875,630.8319702148438,32.69217300415039,2315.0517578125,1889.8333740234375,239.2320098876953,2.486905336380005,110.72874450683594,217.1163787841797,251.07400512695312,41.83784484863281,440.8160400390625,8819.73046875,10773.1640625,54.6096076965332,747.07861328125,,244.95217895507812,120.0303955078125,92.92225646972656,81.3522720336914,219.65725708007812,8360.3291015625,527.7999877929688,439.11724853515625,385.5,1088.8182373046875,848.6813354492188,3285.884521484375,5385.251953125,6027.85302734375,1969.688720703125,207.9161834716797,317.760498046875,80.2197265625,162.84927368164062,275.2472839355469,401.9359436035156,70.05658721923828,2486.768798828125,155.7152557373047,225.29507446289062,,599.162353515625,164.32354736328125,289.6837158203125,53.31011199951172,,25.301605224609375,4230.6708984375,66.14861297607422,227.80197143554688,102.43514251708984,1831.842529296875,394.6130676269531
2024-02-07,1720.23291015625,452.59320068359375,2486.21630859375,173.28965759277344,144.84519958496094,66.13294982910156,223.20169067382812,835.4136962890625,275.4465637207031,726.602783203125,10484.4296875,1197.9915771484375,41.28257369995117,144.28160095214844,,88.5790023803711,46.651206970214844,474.0130920410156,105.1959457397461,,2149.154052734375,27.22061538696289,,151.65213012695312,2937.918701171875,3289.15576171875,20.319480895996094,5.346094131469727,12.37639045715332,265.12298583984375,,3289.143310546875,44.43058395385742,16490.0,3454.03955078125,1671.11083984375,2181.665283203125,626.0408325195312,31.018648147583008,2333.04443359375,1865.367919921875,239.03883361816406,2.4337735176086426,107.32939910888672,217.61595153808594,243.6865692138672,41.538150787353516,430.172607421875,8859.7197265625,10752.2705078125,54.626686096191406,751.4872436523438,,240.9529571533203,118.59913635253906,92.21170806884766,81.9301986694336,216.96145629882812,8350.3359375,520.7999877929688,437.4244384765625,378.6000061035156,1092.0838623046875,829.69287109375,3267.890625,5369.27783203125,6027.85302734375,1989.702880859375,205.79689025878906,322.85986328125,80.36687469482422,164.41513061523438,258.5686340332031,398.6405029296875,70.5538101196289,2468.784912109375,156.44088745117188,226.71261596679688,,593.168701171875,165.4123077392578,279.7911071777344,51.621517181396484,,25.20926284790039,4169.22412109375,63.52184295654297,229.03909301757812,102.15744018554688,1808.8505859375,396.0487060546875
2024-02-08,1705.52685546875,454.8825378417969,2528.169677734375,170.30633544921875,145.47962951660156,65.59657287597656,221.92755126953125,840.4261474609375,276.02545166015625,720.2044677734375,9817.783203125,1194.4931640625,41.714195251464844,143.04261779785156,,91.09860229492188,46.42987060546875,475.66107177734375,105.59555053710938,,2210.1298828125,26.89421844482422,,150.6693878173828,2923.9287109375,3385.131103515625,20.155866622924805,5.277827262878418,12.372945785522461,270.7784423828125,,3337.130859375,44.723388671875,16720.0,3425.84326171875,1649.530029296875,2212.660888671875,616.5584106445312,32.254337310791016,2381.02490234375,1855.881103515625,240.0529327392578,2.4140632152557373,104.47994232177734,219.7141876220703,240.89129638671875,41.473209381103516,438.64794921875,8789.736328125,9172.65234375,55.5317268371582,771.038818359375,,236.9537353515625,117.71683502197266,91.94058227539062,79.43789672851562,215.1642608642578,8284.37890625,525.4000244140625,438.3433837890625,384.0,1118.674560546875,817.7002563476562,3299.8798828125,5353.30419921875,5998.72265625,2025.826171875,202.82086181640625,317.6605224609375,78.89546203613281,164.41513061523438,259.0679931640625,399.5392761230469,71.27391815185547,2476.278076171875,157.94798278808594,225.3895721435547,,578.7840576171875,163.54586791992188,280.1908264160156,52.3199462890625,,25.34117889404297,4300.6650390625,63.431949615478516,230.541259765625,103.04259490966797,1801.8531494140625,388.2425842285156
2024-02-09,1669.25146484375,453.88714599609375,2531.166259765625,169.65435791015625,144.69139099121094,66.80838775634766,221.1539764404297,861.065673828125,274.1923828125,712.6065063476562,9755.818359375,1208.9869384765625,41.76814651489258,142.16334533691406,,91.13433837890625,45.493438720703125,477.8583984375,104.8462905883789,,2226.12353515625,26.818206787109375,,152.6741485595703,2897.447265625,3379.1328125,20.14678192138672,5.20778751373291,12.310934066772461,271.46099853515625,,3357.125732421875,44.794227600097656,16905.0,3375.090087890625,1658.52197265625,2210.6611328125,608.37353515625,32.73109817504883,2413.01171875,1879.8475341796875,239.28030395507812,2.3870692253112793,103.98003387451172,217.61595153808594,233.4040069580078,41.35832977294922,437.9580993652344,8833.7255859375,9114.1484375,55.429264068603516,773.9140014648438,,237.75360107421875,116.71691131591797,89.20126342773438,79.74491882324219,210.37171936035156,8216.427734375,513.2000122070312,405.1157531738281,389.29998779296875,1119.6075439453125,797.5125732421875,3348.863037109375,5335.33251953125,5982.07763671875,2122.96826171875,202.82086181640625,318.06048583984375,79.54839324951172,164.7283172607422,255.67233276367188,399.2396240234375,70.6052474975586,2485.269775390625,158.3689727783203,225.4840850830078,,573.1900024414062,162.61265563964844,280.29071044921875,52.7973518371582,,25.552248001098633,4280.361328125,62.89262008666992,230.23196411132812,102.90375518798828,1800.3536376953125,385.7302551269531
2024-02-12,1717.2916259765625,455.5793151855469,2544.151611328125,172.12400817871094,144.153076171875,67.10636901855469,224.11178588867188,862.5399780273438,276.5078125,725.403076171875,9495.955078125,1223.480712890625,42.451541900634766,142.7628631591797,,91.25942993164062,46.11488723754883,478.8571472167969,104.39673614501953,,2199.13427734375,27.390520095825195,,153.85340881347656,2888.45361328125,3385.131103515625,20.233131408691406,5.245910167694092,12.434956550598145,276.0438232421875,,3379.119873046875,45.091758728027344,16760.0,3390.128173828125,1624.951904296875,2203.662353515625,607.2757568359375,33.339210510253906,2408.013916015625,1893.328369140625,241.54995727539062,2.419633626937866,105.62971496582031,220.61341857910156,235.1011199951172,41.35832977294922,440.32330322265625,8881.7138671875,9197.7255859375,56.052547454833984,787.715087890625,,239.2532958984375,118.16777801513672,90.50080871582031,79.17601776123047,207.37640380859375,8342.341796875,536.7999877929688,414.6438903808594,398.20001220703125,1135.0020751953125,811.90380859375,3333.8681640625,5346.3154296875,5988.3203125,2133.70751953125,205.1656036376953,309.0616149902344,79.1529541015625,164.18023681640625,255.772216796875,404.1328125,70.87957000732422,2493.262451171875,158.00540161132812,232.38279724121094,,580.981689453125,166.5788116455078,279.3914489746094,52.88575744628906,,26.005159378051758,4267.0029296875,64.17105102539062,232.57363891601562,103.9277572631836,1813.3489990234375,387.8836364746094
2024-02-13,1721.60546875,452.09552001953125,2531.166259765625,168.52821350097656,143.13412475585938,66.53026580810547,223.61123657226562,836.1016845703125,272.4556884765625,704.2088012695312,9594.9013671875,1211.985595703125,41.54334259033203,140.3648223876953,,90.1336441040039,45.82544708251953,479.1567687988281,102.19890594482422,,2184.14013671875,27.394990921020508,,154.16787719726562,2858.474853515625,3299.153564453125,20.19222640991211,5.215766429901123,12.462517738342285,267.170654296875,,3303.1396484375,44.54865264892578,16375.0,3397.647216796875,1640.338134765625,2150.67041015625,609.3717041015625,31.685138702392578,2375.02734375,1880.8460693359375,240.87387084960938,2.404636859893799,105.42975616455078,215.61764526367188,230.40907287597656,41.1435432434082,435.5928649902344,8821.7294921875,9072.359375,55.87324905395508,767.4926147460938,,234.2542724609375,119.0696792602539,90.1268310546875,79.4830322265625,204.08155822753906,8170.45703125,519.5999755859375,414.0151672363281,401.29998779296875,1121.007080078125,790.3170166015625,3263.89208984375,5277.42724609375,5942.5439453125,2084.324951171875,206.0674285888672,306.2619323730469,78.8034896850586,159.2869415283203,249.4802703857422,393.3479919433594,71.23963165283203,2486.26904296875,156.60845947265625,228.03567504882812,,576.9859619140625,165.95668029785156,273.4958190917969,53.31011199951172,,25.846858978271484,4266.46875,64.0711669921875,233.7665252685547,102.93846893310547,1791.8568115234375,391.4726867675781
2024-02-14,1712.9779052734375,460.95428466796875,2545.150634765625,172.73646545410156,144.44146728515625,67.5036849975586,222.61012268066406,838.75537109375,273.8064270019531,712.6065063476562,9718.8359375,1229.4781494140625,42.577430725097656,141.90354919433594,,90.38382720947266,45.902061462402344,475.9107971191406,104.6964340209961,,2185.1396484375,27.394990921020508,,152.79208374023438,2866.46923828125,3309.15087890625,20.087697982788086,5.243250846862793,12.490077018737793,267.2681579589844,,3358.12548828125,44.77061462402344,16605.0,3454.03955078125,1666.5150146484375,2189.66455078125,619.5528564453125,32.103519439697266,2387.0224609375,1889.333984375,242.22601318359375,2.412778377532959,108.22921752929688,218.31536865234375,234.80162048339844,41.398284912109375,455.894287109375,8859.7197265625,9038.927734375,55.95008850097656,769.2177734375,,234.8541259765625,118.91282653808594,90.52884674072266,79.28437805175781,208.67437744140625,8290.3759765625,532.7999877929688,417.2073059082031,402.5,1132.2030029296875,789.917236328125,3334.867919921875,5300.39013671875,5921.73583984375,2097.037353515625,204.89505004882812,312.1612243652344,78.84027862548828,161.36170959472656,250.47900390625,397.94146728515625,71.25677490234375,2495.2607421875,157.9097137451172,231.43777465820312,,575.3876953125,166.34552001953125,276.99322509765625,53.416202545166016,,26.176651000976562,4259.5234375,65.2896728515625,234.915283203125,102.20951080322266,1800.8536376953125,392.4596862792969
2024-02-15,1732.39013671875,466.5283203125,2578.11376953125,172.00543212890625,143.13412475585938,67.92086029052734,223.88426208496094,846.0282592773438,276.2183837890625,712.0067138671875,9820.783203125,1224.4803466796875,44.33088684082031,143.30239868164062,,91.68829345703125,45.97867965698242,468.226318359375,106.19495391845703,,2187.13916015625,27.524656295776367,,152.6348419189453,2895.948486328125,3331.14501953125,20.124053955078125,5.253003120422363,12.577927589416504,270.3883972167969,,3354.12646484375,45.0728645324707,16870.0,3441.8212890625,1661.5191650390625,2195.66357421875,625.44189453125,32.43920135498047,2427.005859375,1828.4215087890625,242.75721740722656,2.4239187240600586,109.82891082763672,224.9097900390625,236.99789428710938,41.538150787353516,451.7551574707031,8901.708984375,9114.1484375,57.077117919921875,781.6771240234375,,231.65476989746094,119.46180725097656,91.72555541992188,79.42886352539062,213.96612548828125,8394.3056640625,539.0,423.4465637207031,404.1000061035156,1140.6002197265625,807.1066284179688,3312.87548828125,5319.359375,5932.14013671875,2139.57470703125,204.6696014404297,319.9602355957031,79.5575942993164,160.8723907470703,250.6787567138672,403.2341003417969,71.56539154052734,2462.055908203125,159.7850341796875,233.70584106445312,,580.1824951171875,167.9786376953125,275.9939880371094,52.82387161254883,,26.057926177978516,4254.18017578125,66.48818969726562,237.9196319580078,103.42443084716797,1800.3536376953125,396.2281799316406
2024-02-16,1766.9005126953125,472.9981994628906,2586.104736328125,174.09970092773438,140.6732635498047,68.00032806396484,224.8853759765625,859.5914916992188,276.89373779296875,721.4041137695312,10088.640625,1241.4732666015625,44.43878936767578,146.59970092773438,,93.01063537597656,46.29365921020508,471.4726257324219,106.09505462646484,,2190.137939453125,27.703502655029297,,152.16314697265625,2925.42724609375,3425.12109375,20.16495704650879,5.20778751373291,12.19035816192627,272.1435546875,,3395.115478515625,45.271217346191406,17085.0,3446.5205078125,1674.907470703125,2252.65478515625,637.6193237304688,32.55595779418945,2474.986328125,1842.9049072265625,246.6687469482422,2.420919418334961,112.07848358154297,227.40768432617188,239.79315185546875,43.15651321411133,450.4739990234375,8885.712890625,8804.9091796875,57.529632568359375,781.8687744140625,,236.9537353515625,121.06952667236328,90.8280258178711,79.8623046875,229.14247131347656,8464.2587890625,536.0,427.9446105957031,397.20001220703125,1147.59765625,833.8903198242188,3400.845458984375,5506.05615234375,5998.72265625,2150.331298828125,205.79689025878906,323.25982666015625,79.51160430908203,161.5574493408203,253.07565307617188,407.7277526855469,72.54269409179688,2495.030517578125,161.90911865234375,240.32106018066406,,593.9678955078125,169.4562225341797,279.3914489746094,52.94763946533203,,26.198638916015625,4306.0078125,65.54934692382812,238.58236694335938,103.84097290039062,1869.8287353515625,396.0487060546875
2024-02-19,1743.1748046875,471.0074768066406,2564.129150390625,177.53744506835938,138.71226501464844,67.9605941772461,226.2960205078125,844.7506103515625,278.726806640625,726.202880859375,10412.46875,1247.4705810546875,43.854305267333984,148.87783813476562,,91.86698913574219,46.625667572021484,474.2695007324219,106.6445083618164,,2190.137939453125,27.730331420898438,,152.1238250732422,2938.41796875,3405.1259765625,20.242218017578125,5.196261405944824,12.204137802124023,273.3136291503906,,3404.11328125,45.252323150634766,16865.0,3481.2958984375,1667.7138671875,2274.6513671875,637.0205078125,32.24460983276367,2462.9912109375,1839.908447265625,247.44143676757812,2.4329164028167725,113.07828521728516,222.4119110107422,238.2957000732422,42.83683776855469,449.38995361328125,8861.7197265625,8976.244140625,57.74308776855469,787.715087890625,,238.4534454345703,122.10867309570312,92.1930160522461,80.87367248535156,224.64947509765625,8494.23828125,534.5999755859375,426.8805847167969,397.6000061035156,1157.86083984375,820.698486328125,3410.84228515625,5419.19677734375,6002.884765625,2163.5322265625,209.2238311767578,334.15850830078125,79.29090118408203,160.73538208007812,253.67491149902344,403.833251953125,72.57697296142578,2506.021484375,162.25357055664062,243.81765747070312,,598.9625854492188,169.84506225585938,280.8902893066406,52.77082061767578,,26.216224670410156,4323.640625,67.01753997802734,239.33346557617188,104.1186752319336,1859.33251953125,395.2411804199219
