Date,AAPL,ABBV,ABT,ACN,ADBE,ADI,AIG,AMD,AMGN,AMZN,ANET,AON,APD,AVGO,AXP,BAC,BDX,BKNG,BLK,BRK-B,BSX,CAT,CB,CDNS,CI,CME,COST,CRM,CSCO,CTAS,CVX,DE,DUK,ECL,EMR,EOG,ETN,FCX,FDX,GE,GILD,GOOG,GOOGL,GS,HCA,HD,IBM,ICE,INTU,ISRG,ITW,JNJ,JPM,KLAC,KO,LIN,LLY,LRCX,MA,MCD,MCHP,MCO,MDLZ,META,MMC,MO,MRK,MSFT,MSI,NFLX,NOC,NOW,NSC,NVDA,ORLY,PANW,PEP,PG,PH,PLD,QCOM,REGN,RTX,SCHW,SLB,SNPS,SO,SPGI,SPY,SYK,TGT,TMO,TSLA,TXN,UNH,V,VRTX,WM,WMT,XOM,ZTS
2024-02-06,187.35369873046875,161.77244567871094,109.66545104980469,355.169921875,607.1400146484375,182.9462127685547,65.53338623046875,167.8800048828125,295.08349609375,169.14999389648438,66.22250366210938,297.1453857421875,205.5907745361328,119.30941009521484,200.6190948486328,31.31371307373047,179.45738220214844,143.12388610839844,749.9680786132812,393.739990234375,64.79000091552734,313.6164245605469,242.1094207763672,292.79998779296875,314.06256103515625,185.68707275390625,703.067626953125,282.39874267578125,47.04668426513672,151.64398193359375,138.234619140625,376.8563232421875,87.3984146118164,195.47238159179688,90.61740112304688,104.90747833251953,264.3109436035156,39.11613082885742,230.0675506591797,108.30493927001953,72.22775268554688,144.22592163085938,142.9187774658203,366.4383544921875,301.72650146484375,337.0210266113281,171.57449340820312,122.99308013916016,627.169189453125,389.69000244140625,242.27391052246094,147.87286376953125,167.74708557128906,590.4973754882812,56.110939025878906,403.7418212890625,694.1139526367188,81.77375030517578,455.2696228027344,270.0718994140625,78.4482650756836,391.0677185058594,70.4094467163086,451.17938232421875,,34.31305694580078,118.1587142944336,398.6231994628906,317.8168029785156,55.5880012512207,431.8506774902344,155.49000549316406,241.4207763671875,68.18132019042969,70.1240005493164,170.7449951171875,158.30406188964844,150.98878479003906,500.1580810546875,121.06319427490234,137.33749389648438,931.5169067382812,88.21973419189453,60.04602813720703,45.38412094116211,542.4299926757812,62.41249465942383,445.4509582519531,480.74993896484375,332.6792297363281,132.98931884765625,556.2408447265625,185.10000610351562,149.34278869628906,486.9276428222656,272.1623840332031,416.1300048828125,183.07138061523438,55.28913116455078,94.74520111083984,191.28726196289062
2024-02-07,187.4625701904297,163.37815856933594,109.0016860961914,357.06890869140625,615.8499755859375,185.12562561035156,66.52445983886719,170.94000244140625,276.22479248046875,170.52999877929688,66.76249694824219,298.18255615234375,203.07334899902344,122.66722869873047,203.96522521972656,31.44639778137207,180.05889892578125,145.63612365722656,756.3640747070312,397.6600036621094,65.2300033569336,314.4618835449219,241.34695434570312,300.7300109863281,316.9100036621094,188.14117431640625,711.9599609375,285.37261962890625,46.84900665283203,152.5594024658203,138.03501892089844,373.99774169921875,87.80297088623047,198.45408630371094,100.0675277709961,105.5075912475586,265.99749755859375,38.17158126831055,230.8397674560547,109.0291519165039,69.16095733642578,145.4855499267578,144.3469696044922,368.02789306640625,302.1788330078125,343.11346435546875,171.88319396972656,124.69685363769531,634.9385375976562,391.3800048828125,240.7578582763672,147.7980194091797,168.06320190429688,597.6428833007812,56.15774154663086,404.9757080078125,714.1488647460938,83.13761138916016,456.66357421875,272.6146545410156,78.50479888916016,397.7484130859375,69.8199691772461,465.9335632324219,,34.02570343017578,118.7081527709961,407.0382385253906,320.3075256347656,55.93000030517578,437.37188720703125,158.0780029296875,240.16510009765625,70.0561752319336,71.1346664428711,182.25,158.35023498535156,151.1407470703125,502.7686462402344,119.75515747070312,139.04348754882812,932.1923828125,87.88513946533203,60.569950103759766,44.85475158691406,554.280029296875,61.995784759521484,451.7698059082031,484.7596130371094,335.5676574707031,135.10714721679688,548.3281860351562,187.5800018310547,149.72000122070312,495.2421569824219,274.74859619140625,419.0799865722656,183.81640625,55.14912414550781,94.71739196777344,192.21376037597656
2024-02-08,186.38375854492188,163.1727752685547,108.15513610839844,358.85113525390625,615.8599853515625,187.14109802246094,65.19033813476562,169.35000610351562,275.2724914550781,169.83999633789062,68.97250366210938,303.4176330566406,207.34451293945312,124.39442443847656,206.04310607910156,31.389528274536133,180.9837188720703,150.7918243408203,754.936279296875,397.489990234375,65.0199966430664,312.916748046875,238.8542022705078,307.3599853515625,318.57818603515625,186.8042449951172,716.292236328125,288.4453125,47.01844024658203,151.4647979736328,139.78616333007812,373.88140869140625,85.18266296386719,198.34654235839844,98.4236068725586,106.01395416259766,266.348388671875,37.119911193847656,230.47750854492188,109.46212768554688,68.58477783203125,146.0211639404297,144.7139434814453,366.4859924316406,300.38909912109375,344.0878601074219,174.03550720214844,130.57728576660156,644.7117919921875,386.94000244140625,241.1558074951172,146.31983947753906,167.4596710205078,607.0554809570312,56.00796127319336,402.2261962890625,724.289306640625,84.6875991821289,453.0550842285156,276.97906494140625,79.48482513427734,391.0185852050781,69.95097351074219,466.3404235839844,,33.88202667236328,117.90726470947266,407.0971984863281,320.71783447265625,55.85300064086914,434.78955078125,159.8820037841797,243.52003479003906,69.59845733642578,68.05533599853516,183.50999450683594,160.5481414794922,150.68484497070312,505.4847412109375,122.13932037353516,141.22598266601562,940.0791015625,87.03430938720703,60.852439880371094,45.1761589050293,570.6900024414062,61.98653793334961,429.0791015625,484.9737243652344,331.95465087890625,135.72406005859375,546.9185180664062,189.55999755859375,151.07791137695312,495.9097595214844,271.70428466796875,423.05999755859375,183.34226989746094,55.145870208740234,96.33895874023438,190.90692138671875
2024-02-09,187.14682006835938,162.50997924804688,107.55870819091797,361.9577941894531,627.2100219726562,188.06687927246094,65.86693572998047,172.47999572753906,271.7901611328125,174.4499969482422,70.61250305175781,308.73175048828125,207.27850341796875,125.24144744873047,207.2722930908203,31.342140197753906,183.26943969726562,147.57041931152344,758.7528076171875,398.3599853515625,65.5,308.2132263183594,241.65977478027344,311.94000244140625,321.1092529296875,187.8023681640625,715.5405883789062,287.8031311035156,47.18787384033203,151.72494506835938,137.0459747314453,369.4820251464844,84.300048828125,198.18035888671875,99.21192932128906,104.12921905517578,270.9791564941406,36.379852294921875,231.30694580078125,109.64320373535156,68.46395111083984,148.99676513671875,147.7786102294922,365.7435302734375,301.23480224609375,343.5486145019531,175.90463256835938,131.91111755371094,649.7366943359375,388.2200012207031,242.3307647705078,146.65664672851562,167.6608428955078,637.7865600585938,55.75520324707031,407.4920349121094,728.699951171875,89.31409454345703,452.679443359375,274.64508056640625,80.5119400024414,398.0628967285156,68.46324157714844,464.4651184082031,,33.89893341064453,116.8270034790039,413.4281005859375,323.19879150390625,56.13199996948242,438.3548583984375,162.58799743652344,244.2677001953125,72.08895874023438,68.38800048828125,188.4499969482422,154.8410186767578,149.5260009765625,511.2406005859375,122.90000915527344,143.9136962890625,947.022216796875,86.52761840820312,61.72913360595703,44.5049934387207,575.2999877929688,61.9587516784668,430.31732177734375,487.776611328125,334.82354736328125,134.92298889160156,546.7794799804688,193.57000732421875,153.14306640625,494.1265869140625,272.3447265625,422.9100036621094,182.73272705078125,55.1165657043457,94.30042266845703,192.4381103515625
2024-02-12,185.46214294433594,161.56710815429688,108.2513427734375,357.82855224609375,611.8400268554688,187.13143920898438,66.4482192993164,171.91000366210938,274.88031005859375,172.33999633789062,70.22000122070312,306.2327575683594,209.87135314941406,123.44203186035156,207.06741333007812,31.8634033203125,182.98367309570312,148.8289031982422,763.0833740234375,397.7099914550781,64.98999786376953,312.5571594238281,242.44178771972656,306.5799865722656,323.33349609375,189.3865203857422,714.561279296875,283.8709411621094,47.056095123291016,150.61322021484375,137.98960876464844,377.3311767578125,85.18266296386719,198.43453979492188,100.25020599365234,105.8170394897461,267.1673583984375,36.701194763183594,233.0420684814453,110.34381866455078,69.18883514404297,147.51889038085938,146.32064819335938,373.71978759765625,305.01104736328125,345.7244873046875,175.73472595214844,131.88192749023438,648.5816650390625,382.1300048828125,242.96559143066406,147.6764373779297,168.4080810546875,636.0690307617188,55.886260986328125,407.6766357421875,725.844970703125,88.96334075927734,453.4999694824219,274.6166076660156,79.10789489746094,394.0543518066406,68.77201080322266,465.2489318847656,,34.27079772949219,116.72456359863281,408.2277526855469,312.6497802734375,55.78499984741211,435.03045654296875,157.47000122070312,243.39541625976562,72.20386505126953,68.4260025024414,185.98500061035156,157.55606079101562,149.23155212402344,508.1225280761719,122.50112915039062,145.91514587402344,940.7048950195312,87.12991333007812,62.82986831665039,45.507015228271484,568.9299926757812,63.25515365600586,422.1018371582031,487.5624694824219,333.9717102050781,137.5656280517578,542.9175415039062,188.1300048828125,151.8983154296875,493.57354736328125,271.0047607421875,418.5299987792969,182.15220642089844,55.448673248291016,95.59766387939453,191.82366943359375
2024-02-13,183.37115478515625,161.77244567871094,107.10658264160156,353.32928466796875,601.8900146484375,178.10519409179688,66.79126739501953,171.5399932861328,271.192626953125,168.63999938964844,66.37750244140625,308.7120361328125,205.17593383789062,122.13929748535156,204.540771484375,31.038860321044922,179.75062561035156,147.1553497314453,740.5363159179688,394.79998779296875,64.97000122070312,304.01507568359375,241.2785186767578,294.3299865722656,323.49652099609375,189.9451141357422,706.4899291992188,277.77496337890625,46.72663497924805,148.71607971191406,136.646728515625,367.52459716796875,84.22650146484375,216.22695922851562,100.63473510742188,104.11046600341797,265.539306640625,35.698219299316406,225.36744689941406,111.60335540771484,68.33385467529297,145.17808532714844,143.9502410888672,360.49908447265625,299.4843444824219,338.2887268066406,173.41249084472656,130.85964965820312,630.1209106445312,378.8900146484375,238.51219177246094,146.38534545898438,166.9423370361328,629.218017578125,55.55862808227539,404.4122009277344,731.4664916992188,87.4535140991211,455.23004150390625,272.40594482421875,76.01707458496094,362.7532653808594,67.34980010986328,456.5373229980469,,34.00035095214844,116.80836486816406,399.4391174316406,311.79998779296875,55.45199966430664,429.9234313964844,154.7519989013672,239.89669799804688,72.08395385742188,69.28399658203125,184.1300048828125,155.9584197998047,148.43365478515625,501.6802673339844,121.41571807861328,142.9987335205078,934.1690063476562,86.6041030883789,61.08622360229492,44.977638244628906,548.530029296875,62.514347076416016,415.1737976074219,480.8472595214844,332.7085876464844,134.53623962402344,534.7171020507812,184.02000427246094,147.90943908691406,492.82025146484375,271.7338562011719,416.0400085449219,193.01788330078125,55.07098388671875,94.77466583251953,178.9502716064453
2024-02-14,182.4891815185547,162.8273468017578,107.7992172241211,361.28582763671875,604.6599731445312,179.67706298828125,65.91456604003906,178.6999969482422,270.8098449707031,170.97999572753906,66.4175033569336,304.69189453125,204.61021423339844,123.17074584960938,205.74069213867188,31.39900779724121,179.40476989746094,146.79019165039062,747.5125732421875,398.67999267578125,65.94999694824219,307.7759094238281,242.54933166503906,300.739990234375,324.6373596191406,197.04183959960938,714.3338623046875,285.6788635253906,47.32907485961914,150.69859313964844,137.0187530517578,372.8639221191406,83.97824096679688,212.1112518310547,102.13443756103516,104.09170532226562,268.6979064941406,36.22405242919922,225.7869110107422,115.32687377929688,67.87847900390625,145.9418182373047,144.74368286132812,359.8233337402344,300.35955810546875,338.8941650390625,173.2897491455078,133.05023193359375,648.7199096679688,381.760009765625,240.78628540039062,145.702392578125,168.6380157470703,641.7518920898438,55.5024528503418,406.5010986328125,746.8912353515625,89.71775817871094,459.9064025878906,273.4116516113281,75.93225860595703,360.0514831542969,66.81645965576172,469.5948791503906,,34.14402770996094,117.17156982421875,403.2998352050781,311.9660949707031,57.93299865722656,430.1161193847656,158.39999389648438,241.80422973632812,73.85486602783203,69.95333099365234,184.1649932861328,154.7024688720703,147.82577514648438,511.76031494140625,121.06319427490234,146.71571350097656,941.4598388671875,87.36888885498047,61.3979377746582,45.138343811035156,562.72998046875,62.792152404785156,413.92572021484375,485.217041015625,342.12786865234375,133.54177856445312,544.3173217773438,188.7100067138672,148.8712921142578,492.9061584472656,273.4579772949219,417.8800048828125,192.6985626220703,54.8951530456543,94.30706787109375,179.52565002441406
2024-02-15,182.20181274414062,164.85313415527344,109.31913757324219,361.80194091796875,590.4400024414062,180.8535614013672,66.99139404296875,176.75999450683594,271.9859924316406,169.8000030517578,66.625,310.5195617675781,213.9822235107422,123.44886779785156,207.33082580566406,32.289894104003906,180.41981506347656,147.27511596679688,759.5524291992188,403.45001220703125,66.08999633789062,313.9565124511719,245.42332458496094,295.6700134277344,325.2030334472656,193.2324981689453,716.6385498046875,288.4354553222656,46.18067932128906,152.75244140625,141.6783905029297,353.3670654296875,85.8797607421875,211.6224365234375,102.12962341308594,107.1297836303711,268.8636779785156,37.24650192260742,225.49134826660156,116.79895782470703,68.18516540527344,142.76788330078125,141.59970092773438,366.84771728515625,302.55255126953125,341.5903015136719,176.4049530029297,133.2741241455078,655.7783813476562,380.1700134277344,243.3540802001953,147.74188232421875,172.31675720214844,641.7421264648438,55.605430603027344,416.4984436035156,747.3549194335938,89.5296401977539,465.9272155761719,276.91265869140625,77.7509536743164,366.69293212890625,67.00357818603516,480.2611389160156,,33.949642181396484,117.84207916259766,400.4141845703125,316.3712463378906,59.34600067138672,433.6139831542969,156.0,243.7980194091797,72.61360931396484,69.86000061035156,183.44000244140625,155.01644897460938,149.13656616210938,511.7210693359375,123.4751968383789,148.65997314453125,948.3233642578125,87.75130462646484,62.95650863647461,45.92294692993164,557.8300170898438,61.884674072265625,417.1489562988281,488.56488037109375,341.510986328125,134.73883056640625,544.6151733398438,200.4499969482422,151.54942321777344,496.66290283203125,276.82745361328125,426.2900085449219,192.65017700195312,55.11981964111328,97.00984954833984,184.9578399658203
2024-02-16,180.66578674316406,165.69332885742188,109.67506408691406,359.8249816894531,546.6599731445312,181.52862548828125,66.7436294555664,173.8699951171875,266.9333190917969,169.50999450683594,65.4375,307.4279479980469,213.88796997070312,121.53721618652344,207.36009216308594,32.30885314941406,181.0213165283203,145.94712829589844,755.69775390625,405.989990234375,65.81999969482422,312.8292541503906,245.2669219970703,290.29998779296875,327.0151062011719,194.3679656982422,716.1241455078125,286.2420654296875,45.5970573425293,151.18807983398438,141.83428955078125,349.5102844238281,85.43344116210938,210.55685424804688,102.55471801757812,106.4827880859375,270.5502014160156,37.81129455566406,226.51148986816406,117.42085266113281,66.52165985107422,140.6056365966797,139.36813354492188,365.91485595703125,303.4277648925781,342.7918395996094,177.1318359375,133.498046875,647.34765625,378.6300048828125,240.59678649902344,147.5722198486328,171.51205444335938,650.5658569335938,55.5960693359375,419.3548278808594,771.3009033203125,90.7298583984375,462.81298828125,277.06439208984375,76.90284729003906,364.25640869140625,67.34980010986328,469.634521484375,,33.95809555053711,119.00615692138672,397.95196533203125,313.0404968261719,58.39500045776367,434.5390319824219,153.0,241.59335327148438,72.5686264038086,70.06999969482422,183.2050018310547,153.5942840576172,149.6114959716797,509.9463195800781,123.74423217773438,145.52438354492188,941.688232421875,87.00562286376953,62.73246765136719,45.91349411010742,552.9099731445312,62.21220779418945,416.24493408203125,486.13189697265625,342.0103759765625,137.75900268554688,543.8905029296875,199.9499969482422,151.23822021484375,497.3017883300781,274.4431457519531,422.20001220703125,195.00132751464844,55.46820831298828,97.00984954833984,183.72903442382812
2024-02-20,179.9225616455078,164.06895446777344,112.205078125,353.46563720703125,541.9099731445312,182.6472625732422,64.92350769042969,165.69000244140625,266.75457763671875,167.0800018310547,64.90249633789062,311.6357421875,215.05709838867188,119.68997955322266,207.29180908203125,32.18564224243164,180.9461212158203,145.31964111328125,759.6094970703125,407.1499938964844,66.22000122070312,304.8896484375,244.8856658935547,292.07000732421875,327.2642822265625,193.2050323486328,717.8057250976562,282.95208740234375,45.44645309448242,151.18316650390625,141.25643920898438,346.3125305175781,85.48921966552734,211.54421997070312,101.25043487548828,106.07958984375,269.1560974121094,37.13938522338867,228.37054443359375,116.99577331542969,66.94915008544922,141.04205322265625,139.96319580078125,365.9909973144531,303.457275390625,342.99993896484375,173.1670379638672,132.82627868652344,637.6434936523438,377.6400146484375,242.18862915039062,148.8070831298828,172.18264770507812,641.1421508789062,56.82238006591797,423.5616760253906,745.2639770507812,88.2226333618164,446.6190490722656,277.6622009277344,77.64728546142578,368.7364196777344,68.48194885253906,468.0767822265625,,34.01725387573242,118.61502838134766,396.7011413574219,315.53125,57.51300048828125,437.3816223144531,150.5679931640625,243.27078247070312,69.40957641601562,69.04199981689453,183.0449981689453,155.7460174560547,150.5613555908203,509.4266052246094,123.7071304321289,144.82864379882812,940.5161743164062,86.97693634033203,61.933692932128906,45.86622619628906,547.97998046875,62.73625564575195,418.6427307128906,483.45550537109375,340.8060607910156,139.0391082763672,544.1882934570312,193.75999450683594,153.4636993408203,496.8345031738281,271.0835876464844,420.6400146484375,195.2432098388672,57.25897216796875,96.09333038330078,181.93455505371094
